code,scheme,resolution_deg,native_resolution_deg,coarsen_lat_factor,coarsen_lon_factor,hours,native_points,processed_points,point_hours,source_bytes,capacity_layout,capacity_years,wind_capacity_mw,solar_capacity_mw,wind_capacity_mw_start,wind_capacity_mw_end,solar_capacity_mw_start,solar_capacity_mw_end,wind_outside_grid_mw_max,solar_outside_grid_mw_max,wind_outside_grid_points_max,solar_outside_grid_points_max,wind_weight_fallback,solar_weight_fallback,wind_capacity_absent,solar_capacity_absent,wind_low_coverage,solar_low_coverage,wind_fallback_years,solar_fallback_years,compute_s,write_s,total_s,point_hours_per_s,peak_rss_mb,run_id,workers,task_wall_s,source_kind,source_open_s,graph_build_s,system_scope,wind_out_of_system_scope_mw_max,solar_out_of_system_scope_mw_max,wind_out_of_system_scope_points_max,solar_out_of_system_scope_points_max,aggregation_point_hours_per_s,wind_occupied_cells,solar_occupied_cells,combined_occupied_cells,wind_effective_cells,solar_effective_cells,combined_effective_cells
rs,capacity,0.25,0.25,1,1,37944,342,342,12976848,91962675,annual,"2022,2023,2024,2025,2026",511.70721062618594,117.89715370018976,404.0,604.1,31.8,199.2,0.0,0.0,0,0,False,False,False,False,True,True,,,1.2483964170096442,0.244220457971096,1.6289078749832695,7966594.182088587,624.828125,20260723T013213Z-85f136d9,8,10.58866837498499,resolution_cache,0.0140244580106809,0.1182367919827811,country,0.0,0.0,0.0,0.0,10394813.556966295,5.538266919671094,21.454775458570523,26.99304237824162,3.3805757510935597,11.703388120245364,5.0140107589552105
rs,uniform,2.0,0.25,8,8,37944,342,9,341496,3170881,annual,"2022,2023,2024,2025,2026",511.70721062618594,117.89715370018976,404.0,604.1,31.8,199.2,0.0,0.0,0,0,False,False,False,False,True,True,,,0.9173023749608546,0.3015875839628279,1.3376377079985105,255297.82687643872,628.859375,20260723T013213Z-85f136d9,8,10.295519582985436,resolution_cache,0.0117754159728065,0.1029585420037619,country,0.0,0.0,0.0,0.0,372282.9127250141,3.0,6.0,6.0,1.1319487732386817,4.258910505130439,1.553688623763905
rs,capacity,0.5,0.25,2,2,37944,342,90,3414960,25566444,annual,"2022,2023,2024,2025,2026",511.70721062618594,117.89715370018976,404.0,604.1,31.8,199.2,0.0,0.0,0,0,False,False,False,False,True,True,,,1.3562213749974037,0.2572347919922322,1.7419679999584332,1960403.4058498708,646.703125,20260723T013213Z-85f136d9,8,10.647065375000238,resolution_cache,0.013288874994032,0.1093675829470157,country,0.0,0.0,0.0,0.0,2517996.0019480875,4.538266919671094,15.84313725490196,19.61227071473751,1.8827835847676555,9.044472569328544,2.7945710946431
si,uniform,0.5,0.25,2,2,37944,120,32,1214208,9505078,annual,"2022,2023,2024,2025,2026",0.0,82.51283997469956,0.0,0.0,67.8,93.6,0.0,0.0,0,0,False,False,True,False,False,False,,,0.9575802920153365,0.2794050420052372,1.4286474579712376,849900.3678095966,617.171875,20260723T013213Z-85f136d9,8,11.741363457986154,resolution_cache,0.0219765829970128,0.1638634169939905,country,0.0,0.0,0.0,0.0,1267996.020933724,0.0,10.845034788108793,10.845034788108793,0.0,7.5377973947177,7.5377973947177
cz,capacity,1.0,0.25,4,4,37944,390,32,1214208,9635004,annual,"2022,2023,2024,2025,2026",145.92093611638202,2639.3001328273244,140.0,151.0,2462.11,2799.11,0.0,0.0,0,0,False,False,False,False,True,False,,,1.150956584024243,0.2164167080190964,1.5561022089677865,780288.076838747,699.296875,20260723T013213Z-85f136d9,8,10.560802749998402,resolution_cache,0.0166479999898001,0.1643736670375801,country,0.0,0.0,0.0,0.0,1054955.5186127026,5.538266919671094,18.538266919671095,19.538266919671095,4.512912442785411,11.998936506996086,12.539794772411382
cz,capacity,2.0,0.25,8,8,37944,390,8,303552,2895707,annual,"2022,2023,2024,2025,2026",145.92093611638202,2639.3001328273244,140.0,151.0,2462.11,2799.11,0.0,0.0,0,0,False,False,False,False,True,False,,,1.0984445419744588,0.2189023329992778,1.4927381669986062,203352.47447336384,624.9375,20260723T013213Z-85f136d9,8,10.465000166965185,resolution_cache,0.0172066249651834,0.1508796249981969,country,0.0,0.0,0.0,0.0,276347.13305995765,3.538266919671094,8.0,8.0,2.583599723747854,4.293885590083172,4.469931407614413
cz,capacity,0.25,0.25,1,1,37944,390,390,14798160,101753742,annual,"2022,2023,2024,2025,2026",145.92093611638202,2639.3001328273244,140.0,151.0,2462.11,2799.11,0.0,0.0,0,0,False,False,False,False,True,False,,,1.5905936250346713,0.2028195419698022,1.9811771669774316,7469377.42199841,654.796875,20260723T013213Z-85f136d9,8,10.747073083010036,resolution_cache,0.0210858329664915,0.1591931250295601,country,0.0,0.0,0.0,0.0,9303545.397824308,5.538266919671094,146.53447185325743,148.07273877292852,4.512912442785411,81.23620789654096,84.0539388653844
cz,capacity,0.5,0.25,2,2,37944,390,105,3984120,29166387,annual,"2022,2023,2024,2025,2026",145.92093611638202,2639.3001328273244,140.0,151.0,2462.11,2799.11,0.0,0.0,0,0,False,False,False,False,True,False,,,1.3444859170122072,0.2169071660027839,1.7420537080033682,2287024.7809789665,605.84375,20260723T013213Z-85f136d9,8,10.640641707985196,resolution_cache,0.0137893329956568,0.1579168330063112,country,0.0,0.0,0.0,0.0,2963303.6312152212,5.538266919671094,47.538266919671095,47.538266919671095,4.512912442785411,28.045354776832102,29.08333026802863
lv,capacity,0.5,0.25,2,2,37944,372,96,3642624,26463060,annual,"2022,2023,2024,2025,2026",100.0,289.8595825426945,100.0,100.0,18.6,585.3000000000001,0.0,0.0,0,0,False,False,False,False,True,True,,,1.0396595830097797,0.122545790974982,1.3383734169765376,2721679.879318656,617.171875,20260723T013213Z-85f136d9,8,11.878393499995582,resolution_cache,0.0094097499968484,0.1067656659870408,country,0.0,0.0,0.0,0.0,3503669.912275253,3.0,20.996204933586338,22.381404174573056,2.3137436372049973,8.181398643253628,8.880961412834226
cz,uniform,0.5,0.25,2,2,37944,390,105,3984120,29166387,annual,"2022,2023,2024,2025,2026",145.92093611638202,2639.3001328273244,140.0,151.0,2462.11,2799.11,0.0,0.0,0,0,False,False,False,False,True,False,,,1.5043163330410607,0.5839121250319295,2.2997741660219617,1732396.188662097,675.5,20260723T013213Z-85f136d9,8,9.892313083983026,resolution_cache,0.0194173749769106,0.1856362500111572,country,0.0,0.0,0.0,0.0,2648458.9128576936,5.538266919671094,47.538266919671095,47.538266919671095,4.512912442785411,28.045354776832102,29.08333026802863
cz,uniform,0.25,0.25,1,1,37944,390,390,14798160,101753742,annual,"2022,2023,2024,2025,2026",145.92093611638202,2639.3001328273244,140.0,151.0,2462.11,2799.11,0.0,0.0,0,0,False,False,False,False,True,False,,,1.7574916669982483,0.6338640410103835,2.5906024589785375,5712246.565933874,628.859375,20260723T013213Z-85f136d9,8,10.413538499968126,resolution_cache,0.0182225420139729,0.1748241250170394,country,0.0,0.0,0.0,0.0,8420045.612662781,5.538266919671094,146.53447185325743,148.07273877292852,4.512912442785411,81.23620789654096,84.0539388653844
cz,uniform,1.0,0.25,4,4,37944,390,32,1214208,9635004,annual,"2022,2023,2024,2025,2026",145.92093611638202,2639.3001328273244,140.0,151.0,2462.11,2799.11,0.0,0.0,0,0,False,False,False,False,True,False,,,1.3153542910004037,0.6412230840069242,2.1587653750320897,562454.8244303534,683.25,20260723T013213Z-85f136d9,8,10.066882207989693,resolution_cache,0.0151555410120636,0.1783013329841196,country,0.0,0.0,0.0,0.0,923103.38614285,5.538266919671094,18.538266919671095,19.538266919671095,4.512912442785411,11.998936506996086,12.539794772411382
at,uniform,2.0,0.25,8,8,37944,429,10,379440,3507859,annual,"2022,2023,2024,2025,2026",3007.1189120809613,628.7667324478178,2802.0,3090.0,296.744,826.7840000000001,0.0,0.0,0,0,False,False,False,False,False,False,,,0.9975922079756856,0.1789641669602133,1.472040708991699,257764.61050449096,742.671875,20260723T013213Z-85f136d9,8,11.741925375012215,resolution_cache,0.0101387079921551,0.2782132499851286,country,0.0,0.0,0.0,0.0,380355.8177042699,6.0,7.307400379506642,7.7691334598355475,3.472518866945366,4.592651589522983,4.1124501637524356
cz,uniform,2.0,0.25,8,8,37944,390,8,303552,2895707,annual,"2022,2023,2024,2025,2026",145.92093611638202,2639.3001328273244,140.0,151.0,2462.11,2799.11,0.0,0.0,0,0,False,False,False,False,True,False,,,1.760488332947716,0.5040501250186935,2.5845317089697346,117449.51665576748,742.671875,20260723T013213Z-85f136d9,8,9.700297707982829,resolution_cache,0.0172983329975977,0.2959640829940326,country,0.0,0.0,0.0,0.0,172424.88593590414,3.538266919671094,8.0,8.0,2.583599723747854,4.293885590083172,4.469931407614413
