code,rows,train_rows,test_rows,test_start,test_end,task,model,metric,calendar_score,both_score,gain,evaluation_wall_s,resolution_deg,scheme,capacity_layout,capacity_years,run_id,workers,calendar_mae,both_mae,mae_reduction
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,classification,LogReg,auc,0.8220071105365223,0.9483535495646224,0.1263464390280999,6.837688667001203,0.25,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,classification,RandForest,auc,0.7405519221263166,0.890735008935701,0.1501830868093844,6.837688667001203,0.25,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,regression,GradientBoosting,r2,0.009739908680317,0.8258508929244898,0.8161109842441727,6.837688667001203,0.25,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,12.245521516628212,4.769695068120611,7.475826448507601
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,regression,LightGBM,r2,0.0113241157328115,0.8268033543342345,0.8154792386014229,6.837688667001203,0.25,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,12.237823805520224,4.753928347676137,7.483895457844088
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,classification,LogReg,auc,0.8220071105365223,0.9479520133845392,0.1259449028480169,6.90304504201049,0.5,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,classification,RandForest,auc,0.7405519221263166,0.8914086086923457,0.1508566865660291,6.90304504201049,0.5,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,regression,GradientBoosting,r2,0.009739908680317,0.8208760705751034,0.8111361618947863,6.90304504201049,0.5,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,12.245521516628212,4.838077185002957,7.407444331625255
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,classification,LogReg,auc,0.8220071105365223,0.9462987185824556,0.1242916080459333,6.7819474170100875,2.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,regression,LightGBM,r2,0.0113241157328115,0.8386937244750535,0.827369608742242,7.520949458004907,2.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,12.237823805520224,4.512754410217089,7.725069395303136
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,regression,LightGBM,r2,0.1781927962791758,0.4482068495451197,0.2700140532659438,10.379115334013475,2.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,14.180399151819149,11.661687910434289,2.518711241384862
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,classification,RandForest,auc,0.7258488546106153,0.8483109218540206,0.1224620672434052,9.842608416976873,2.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
gr,37933,30346,7587,2025-06-18 17:00:00+00:00,2026-04-30 20:00:00+00:00,classification,RandForest,auc,0.788488666149749,0.9400428799257204,0.1515542137759714,10.06911358301295,1.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
lv,37941,30352,7589,2025-06-18 16:00:00+00:00,2026-04-30 20:00:00+00:00,regression,LightGBM,r2,0.0945632178997945,0.1052133842005457,0.0106501663007512,9.81535533297574,0.5,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,29.10992510288042,27.84200824737664,1.2679168555037812
gr,37933,30346,7587,2025-06-18 17:00:00+00:00,2026-04-30 20:00:00+00:00,regression,LightGBM,r2,0.2668967792070937,0.6168480364458683,0.3499512572387745,10.06911358301295,1.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,17.887216314420865,12.28279439238348,5.604421922037384
gr,37933,30346,7587,2025-06-18 17:00:00+00:00,2026-04-30 20:00:00+00:00,classification,LogReg,auc,0.7953325344182544,0.9239708782868724,0.1286383438686181,10.174147458048536,2.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
gr,37933,30346,7587,2025-06-18 17:00:00+00:00,2026-04-30 20:00:00+00:00,classification,RandForest,auc,0.788488666149749,0.9346494690174532,0.1461608028677042,10.174147458048536,2.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
gr,37933,30346,7587,2025-06-18 17:00:00+00:00,2026-04-30 20:00:00+00:00,regression,GradientBoosting,r2,0.2681877379901742,0.6063992733497783,0.338211535359604,10.174147458048536,2.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,17.875284454879893,12.524775560869935,5.350508894009955
gr,37933,30346,7587,2025-06-18 17:00:00+00:00,2026-04-30 20:00:00+00:00,regression,LightGBM,r2,0.2668967792070937,0.6023907900668551,0.3354940108597614,10.174147458048536,2.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,17.887216314420865,12.568965009609665,5.3182513048112
gr,37933,30346,7587,2025-06-18 17:00:00+00:00,2026-04-30 20:00:00+00:00,classification,LogReg,auc,0.7953325344182544,0.9281072914052072,0.1327747569869528,9.438121041981503,0.25,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
gr,37933,30346,7587,2025-06-18 17:00:00+00:00,2026-04-30 20:00:00+00:00,classification,RandForest,auc,0.788488666149749,0.9417220698426104,0.1532334036928615,9.438121041981503,0.25,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
gr,37933,30346,7587,2025-06-18 17:00:00+00:00,2026-04-30 20:00:00+00:00,regression,GradientBoosting,r2,0.2681877379901742,0.6253021062209567,0.3571143682307824,9.438121041981503,0.25,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,17.875284454879893,12.163928213666797,5.711356241213098
gr,37933,30346,7587,2025-06-18 17:00:00+00:00,2026-04-30 20:00:00+00:00,regression,LightGBM,r2,0.2668967792070937,0.6224320294006184,0.3555352501935246,9.438121041981503,0.25,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,17.887216314420865,12.174857054630406,5.712359259790459
gr,37933,30346,7587,2025-06-18 17:00:00+00:00,2026-04-30 20:00:00+00:00,classification,LogReg,auc,0.7953325344182544,0.9040070671822792,0.1086745327640248,9.716491874947678,1.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
