split_fraction,train_rows,test_rows,test_start,test_end,block_mode,block_days,temporal_blocks,requested_resamples,seed,code,country,task,model,metric,primary_metric,point_estimate,bootstrap_mean,bootstrap_median,ci_low,ci_high,confidence,valid_resamples,positive_ci,excludes_zero,direction,p_two_sided
0.8,30339,7585,2025-06-18T12:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,4118848249,dk,Denmark,classification,RandForest,brier_reduction,False,0.11330678124798338,0.11314919762988893,0.11311664219194245,0.09713634368242453,0.12945143743152362,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T16:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,156492851,es,Spain,classification,RandForest,brier_reduction,False,0.08056867747803774,0.08042308556483328,0.08023335542756693,0.06080525972410865,0.1005356063614426,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30305,7577,2025-06-18T00:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,1120195802,fr,France,classification,RandForest,brier_reduction,False,0.0033545875179515697,0.0033600595199311085,0.0032848229673979757,0.0008125556277210493,0.0062841265640778896,0.95,2000,True,True,positive,0.01199400299850075
0.8,30346,7587,2025-06-18T17:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,2299880843,gr,Greece,classification,RandForest,brier_reduction,False,0.07606710444153778,0.07555008671393133,0.07531702715775634,0.05019939154811348,0.10289979570235783,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,2754115982,hr,Croatia,classification,RandForest,brier_reduction,False,0.06874403636720666,0.06870077314727747,0.06893536254502425,0.044183731603311856,0.09252251780259982,0.95,2000,True,True,positive,0.0009995002498750624
0.8,28868,7217,2025-05-18T22:00:00+00:00,2026-04-30T22:00:00+00:00,iso_week,7,48,2000,2169394076,ie,Ireland,classification,RandForest,brier_reduction,False,0.14325737484068762,0.1431692335588151,0.14331249663690077,0.1230808463758091,0.16388623751238562,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30351,7588,2025-06-18T16:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,826932186,lt,Lithuania,classification,RandForest,brier_reduction,False,0.0697573970895676,0.06977685773928605,0.06956388784603608,0.04993186548792377,0.09069102818184188,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T16:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,3593180117,lv,Latvia,classification,RandForest,brier_reduction,False,0.009698834788821276,0.009726055965594808,0.009481576686034193,-0.008563887352023588,0.028270075333783132,0.95,2000,False,False,overlaps_zero,0.3118440779610195
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,899312267,nl,Netherlands,classification,RandForest,brier_reduction,False,0.006946400551797009,0.006942215972905408,0.006833634379357318,0.0038625822512568108,0.010645787625110346,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30354,7589,2025-06-18T18:00:00+00:00,2026-04-30T22:00:00+00:00,iso_week,7,46,2000,3678831450,pt,Portugal,classification,RandForest,brier_reduction,False,0.03886928377777707,0.03922484901089888,0.03931678599969983,0.02404689650990708,0.05500598786091154,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T16:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,237117681,ro,Romania,classification,RandForest,brier_reduction,False,0.018125088552957275,0.018513858614543934,0.018294670483159692,0.0043986053315496435,0.033274045545619566,0.95,2000,True,True,positive,0.01199400299850075
0.8,30351,7588,2025-06-18T15:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,910377674,rs,Serbia,classification,RandForest,brier_reduction,False,-0.0007196293883719451,-0.0007332047392012846,-0.0007694021591188732,-0.0041468600910732735,0.0029912712193539016,0.95,2000,False,False,overlaps_zero,0.655672163918041
0.8,30281,7571,2025-06-19T04:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,3546271242,si,Slovenia,classification,RandForest,brier_reduction,False,-0.017442306078927577,-0.017321785398300357,-0.017319085256602584,-0.031145964031289133,-0.003907272470387782,0.95,2000,False,True,negative,0.008995502248875561
0.8,30308,7578,2025-06-18T22:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,3601063077,sk,Slovakia,classification,RandForest,brier_reduction,False,-0.00010672856398368853,-0.00010745363526221274,-9.885818968244364e-05,-0.0003441889539481805,3.401748048662318e-05,0.95,2000,False,False,overlaps_zero,0.3868065967016492
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,485424676,at,Austria,regression,GradientBoosting,mae_reduction,False,5.271327969924284,5.266346678877671,5.26693657610409,4.079152634238186,6.48484392024568,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,1557233849,be,Belgium,regression,GradientBoosting,mae_reduction,False,7.505102353450775,7.507152833414922,7.504619204599505,6.578457813706076,8.457625644838554,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7588,2025-06-18T17:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,1880112050,bg,Bulgaria,regression,GradientBoosting,mae_reduction,False,0.38496017166363394,0.3837941617728762,0.3876332066440247,0.05908015963313276,0.6888827481169743,0.95,2000,True,True,positive,0.02498750624687656
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,147067191,cz,Czech Republic,regression,GradientBoosting,mae_reduction,False,0.9113615950784539,0.913132576873687,0.9165353291153935,0.7072765197354792,1.1210062340057643,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,3581592072,de,Germany,regression,GradientBoosting,mae_reduction,False,9.293082663036309,9.28863478308754,9.279997730483755,7.987998903613253,10.693478782876975,0.95,2000,True,True,positive,0.0009995002498750624
